cod_distr;grupo_ipvs;n_pessoas;n_domicilios;n_setor
355030860;Média Vulnerabilidade;0;0;0
355030860;Alta Vulnerabilidade;0;0;0
355030860;Muito Alta Vulnerabilidade;0;0;0
355030861;Baixíssima Vulnerabilidade;788;301;2
355030861;Muito Baixa Vulnerabilidade;35909;12875;76
355030861;Baixa Vulnerabilidade;6057;2248;14
355030861;Média Vulnerabilidade;5518;1924;16
355030861;Alta Vulnerabilidade;9195;3211;18
355030861;Muito Alta Vulnerabilidade;29646;9764;66
355030862;Baixíssima Vulnerabilidade;61613;29496;204
355030862;Muito Baixa Vulnerabilidade;1973;946;9
355030862;Baixa Vulnerabilidade;1274;653;6
355030862;Média Vulnerabilidade;0;0;0
355030862;Alta Vulnerabilidade;0;0;0
355030862;Muito Alta Vulnerabilidade;0;0;0
355030863;Baixíssima Vulnerabilidade;12365;4985;41
355030863;Muito Baixa Vulnerabilidade;98936;37961;264
355030863;Baixa Vulnerabilidade;33428;13061;85
355030863;Média Vulnerabilidade;5764;2096;15
355030863;Alta Vulnerabilidade;5854;2120;12
355030863;Muito Alta Vulnerabilidade;21967;7734;48
355030864;Baixíssima Vulnerabilidade;829;308;2
355030864;Muito Baixa Vulnerabilidade;74974;26968;147
355030864;Baixa Vulnerabilidade;8484;3054;17
355030864;Média Vulnerabilidade;0;0;0
355030864;Alta Vulnerabilidade;1279;449;3
355030864;Muito Alta Vulnerabilidade;3971;1337;11
355030865;Baixíssima Vulnerabilidade;8712;3179;18
355030865;Muito Baixa Vulnerabilidade;40742;15108;103
355030865;Baixa Vulnerabilidade;32979;12228;72
355030865;Média Vulnerabilidade;5130;1827;14
355030865;Alta Vulnerabilidade;13166;4591;26
355030865;Muito Alta Vulnerabilidade;16119;5605;33
355030866;Baixíssima Vulnerabilidade;9645;5760;46
355030866;Muito Baixa Vulnerabilidade;24025;12592;102
355030866;Baixa Vulnerabilidade;19523;10121;82
355030866;Média Vulnerabilidade;552;262;2
355030866;Alta Vulnerabilidade;2034;811;5
355030866;Muito Alta Vulnerabilidade;0;0;0
355030867;Baixíssima Vulnerabilidade;27321;10426;72
355030867;Muito Baixa Vulnerabilidade;49350;18233;121
355030867;Baixa Vulnerabilidade;23130;9038;54
355030867;Média Vulnerabilidade;4492;1459;10
355030867;Alta Vulnerabilidade;2262;751;5
355030867;Muito Alta Vulnerabilidade;24772;8342;43
355030868;Baixíssima Vulnerabilidade;13772;5508;34
355030868;Muito Baixa Vulnerabilidade;137554;52659;329
355030868;Baixa Vulnerabilidade;35555;13740;73
355030868;Média Vulnerabilidade;8310;2959;15
355030868;Alta Vulnerabilidade;7412;2648;16
355030868;Muito Alta Vulnerabilidade;57963;20633;110
355030869;Baixíssima Vulnerabilidade;35587;16819;131
355030869;Muito Baixa Vulnerabilidade;32724;16570;126
355030869;Baixa Vulnerabilidade;11577;5965;45
355030869;Média Vulnerabilidade;0;0;0
355030869;Alta Vulnerabilidade;356;169;2
355030869;Muito Alta Vulnerabilidade;0;0;0
355030870;Baixíssima Vulnerabilidade;66875;27323;171
355030870;Muito Baixa Vulnerabilidade;42172;17633;106
355030870;Baixa Vulnerabilidade;845;395;3
355030870;Média Vulnerabilidade;0;0;0
355030870;Alta Vulnerabilidade;977;301;1
